,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,2023-02-18 11:12:21,308.24,+0.06,(+0.02%),"2,721,407",362.00,74.66,-2.07,(-2.70%),"15,855,721",101.47,53.70,0.00,(0.00%),"140,362,225",44.08,152.55,-1.16,(-0.75%),"59,144,118",169.39,97.20,-0.95,(-0.97%),"60,029,405",135.75,258.06,-4.09,(-1.56%),"30,000,055",285.51,172.88,+0.44,(+0.26%),"21,194,370",212.48,94.59,-1.19,(-1.24%),"31,095,067",123.80
,0
0,2023-02-18 11:13:04
1,308.24
2,+0.06
3,(+0.02%)
4,"2,721,407"
5,362.00
6,74.66
7,-2.07
8,(-2.70%)
9,"15,855,721"
10,101.47
11,53.70
12,0.00
13,(0.00%)
14,"140,362,225"
15,44.08
16,152.55
17,-1.16
18,(-0.75%)
19,"59,144,118"
20,169.39
21,97.20
22,-0.95
23,(-0.97%)
24,"60,029,405"
25,135.75
26,258.06
27,-4.09
28,(-1.56%)
29,"30,000,055"
30,285.51
31,172.88
32,+0.44
33,(+0.26%)
34,"21,194,370"
35,212.48
36,94.59
37,-1.19
38,(-1.24%)
39,"31,095,067"
40,123.80
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,2023-02-18 11:13:30,308.24,+0.06,(+0.02%),"2,721,407",362.00,74.66,-2.07,(-2.70%),"15,855,721",101.47,53.70,0.00,(0.00%),"140,362,225",44.08,152.55,-1.16,(-0.75%),"59,144,118",169.39,97.20,-0.95,(-0.97%),"60,029,405",135.75,258.06,-4.09,(-1.56%),"30,000,055",285.51,172.88,+0.44,(+0.26%),"21,194,370",212.48,94.59,-1.19,(-1.24%),"31,095,067",123.80
